SIREN,SIRET,Nom société,Enseigne,Catégorie entreprise,Forme juridique,Date création,Code NAF,Libellé NAF,Tranche effectifs,Adresse,Code postal,Ville,Site web,Email générique,Téléphone standard,Nom dirigeant,Prénom dirigeant,Fonction dirigeant,Email dirigeant,Téléphone dirigeant,LinkedIn dirigeant,LinkedIn société,Spécialité Santé,Spécialité Prévoyance,Spécialité IARD,Spécialité Auto,Spécialité RC Pro,Spécialité Entreprises,Spécialité Collectives,Spécialité Particuliers,Nb collaborateurs estimé,Niveau digitalisation,ICP Score,Priorité,Potentiel,Statut prospection,Canal,Date premier contact,Dernier contact,Relance prévue,Démo réalisée,Proposition envoyée,Closing estimé,Notes
408272078,40827207800036,,,PME,1000,1996-07-01,66.22Z,66.22Y,NN,12 RUE SAINT JOSEPH,22600,LOUDEAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408909679,40890967900024,,,PME,1000,1982-12-31,66.22Z,66.22Y,NN,KERMERRIEN,29690,BERRIEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408914349,40891434900019,,,PME,1000,1981-01-01,66.22Z,66.22Y,NN,MEILH MOR,29700,PLOMELIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408977676,40897767600027,,,PME,1000,1996-07-01,66.22Z,66.22Y,NN,3 ALLEE ERMENGARDE D'ANJOU,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409007572,40900757200012,,,PME,1000,1996-09-23,66.22Z,66.22Y,NN,5 RUE GAMBETTA,22110,ROSTRENEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409488574,40948857400024,,,PME,1000,1990-07-01,66.22Z,66.22Y,NN,3 ROUTE DE SAINTE-SEVE,29600,SAINT-MARTIN-DES-CHAMPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409653599,40965359900012,,,PME,1000,1993-10-27,66.22Z,66.22Y,NN,PLACE SAINT-MICHEL,56330,PLUVIGNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409657145,40965714500010,,,PME,1000,1993-05-24,66.22Z,66.22Y,NN,LES PIERRES LONGU,56200,SAINT-MARTIN-SUR-OUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409657145,40965714500028,,,PME,1000,1993-05-24,66.22Z,66.22Y,NN,,56220,MALANSAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409728862,40972886200015,,,PME,1000,1995-01-01,66.22Z,66.22Y,NN,PLACE DE VERDUN,29140,ROSPORDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
